database,table,schema
PROD_ARC_SOURCE,DOCUMENTS,"uuid(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),id(INT),type(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),fileName(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),fileData(VARBINARY),created_at(DATETIME2),updated_at(DATETIME2),base64Data(varchar(MAX) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),originalName(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS"")"
PROD_ARC_SOURCE,EMPLOYEE,"id(INT),email(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),first_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),last_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),user_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),department(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),role(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),designation(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),password(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),photo(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),contact_no(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),location_id(INT),role_id(INT),currency_type(INT),last_login_time(DATETIME),last_status(INT),added_by(INT),permissions(NTEXT)"
PROD_ARC_SOURCE,IN_HOUSE,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),ats_cost(decimal(20,2)),ski_cost(decimal(20,2)),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME),division_rates(NTEXT)"
PROD_ARC_SOURCE,JOB_TYPE_MASTER,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME),division_rates(NTEXT),tat(INT)"
PROD_ARC_SOURCE,JOBTYPE_BUSINESS_CATEGORY,"id(INT),business_category_id(INT),jobType_id(INT),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME)"
PROD_ARC_SOURCE,KICK_OFF_MODULES,"id(INT),name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_by(INT),created_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,KICK_OFF_QUESTIONS,"id(INT),kickOffModuleId(INT),name(TEXT),status(BIT),created_by(INT),modified_by(INT),createdAt(DATETIME2),updatedAt(DATETIME2)"
PROD_ARC_SOURCE,LOCATION_BUSINESS_CATEGORY,"id(INT),business_category_id(INT),location_id(INT),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME)"
PROD_ARC_SOURCE,LOCATIONS_MASTER,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME),short_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),division_mark_up(NTEXT),full_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),is_primary(BIT)"
PROD_ARC_SOURCE,PAYMENT_TERMS,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),time(INT),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME)"
PROD_ARC_SOURCE,PO_LIST,"id(INT),quote_id(INT),received_po_value(decimal(20,2)),total_po_value(decimal(20,2)),po_note(TEXT),status(INT),po_status(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_by(INT),created_at(DATETIME2),updated_at(DATETIME2),po_attachment(TEXT),po_type(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),po_submmitted_date(DATETIME),po_number(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),received_po_date(DATE),location_id(INT),project_id(INT)"
PROD_ARC_SOURCE,PO_PAYMENTS,"id(INT),po_id(INT),invoice_stage(INT),percentage(INT),payment_value(decimal(20,2)),created_by_by(INT),created_at(DATETIME2),updated_at(DATETIME2),po_payment_term(INT),payment_date(DATE),planned_invoice_date(DATE),projected_payment_date(DATE)"
PROD_ARC_SOURCE,PRICE_CONVERSION,"id(INT),currency_type(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),price(decimal(20,2)),modified_by(INT),modified_at(DATETIME),created_at(DATETIME2),updated_at(DATETIME2),location_id(INT),modified_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_by(INT),created_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS"")"
PROD_ARC_SOURCE,PROCESS_TYPES_MASTER,"id(INT),name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),rate(decimal(20,2)),job_id(INT),status(BIT),created_at(DATETIME2),updated_at(DATETIME2),ski_rate(decimal(20,2)),create_by(INT),create_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_by_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_at(DATETIME),division_rates(NTEXT),description(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS"")"
PROD_ARC_SOURCE,PROJECT_ACTIONOWNERS,"id(INT),name(varchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),created_by(INT),created_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),modified_by(INT),modified_name(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),status(BIT),created_at(DATETIME2),updated_at(DATETIME2)"
PROD_ARC_SOURCE,PROJECT_ACTIVITIES,"id(INT),project_id(INT),activity_id(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),description(TEXT),is_hold(INT),hold_reason(nvarchar(255) COLLATE ""SQL_Latin1_General_CP1_CI_AS""),is_effect_final_delivery_date(INT),effected_days(INT),last_modified_by(INT),notes(TEXT),created_at(DATETIME2),updated_at(DATETIME2),created_by(INT),quote_id(INT),estimated_delivery_date(DATE),last_modified_date(DATE),completed_date(DATE),activity_status(INT)"
PROD_ARC_SOURCE,PROJECT_CLOSURE_REPORT,"id(INT),projectId(INT),deliverables(TEXT),lessonLearned(TEXT),projectIssues(TEXT),createdAt(DATETIME2),updatedAt(DATETIME2)"
PROD_ARC_SOURCE,PROJECT_KICK_OFF,"id(INT),projectId(INT),moduleId(INT),questionId(INT),answer(TEXT),remarks(TEXT),created_by(INT),modified_by(INT),created_at(DATETIME2),updated_at(DATETIME2)"
